1.00,8.38,9.27,16.79,24.66,5.02,10.94,12.01,20.73,11.97,13.51,19.19,11.41,11.61,11.26,19.63,20.93,22.29,20.98,12.68,17.48,13.43,19.12,22.94,17.13,18.48,24.73,18.80,25.82,22.08,20.66,20.14,20.95,16.06,24.04,31.14,24.13,34.63,25.91,24.18,30.68,21.77,26.87,32.53,25.09,27.33,31.24,26.49,26.65,29.14,33.49,26.98,34.80,26.28,34.51,29.29,27.78,38.30,37.63,30.04,30.58,38.55,43.32,37.07,48.69,42.32,43.01,40.91,50.97,47.80,43.37,47.76,46.39,51.90,45.43,46.67,51.89,48.69,51.27,56.48,58.79,53.06,48.28,56.29,66.48,64.79,58.31,61.54,61.88,63.48,63.95,75.19,74.53,70.13,79.79,71.91,77.93,73.36,79.52,75.84,79.55
0.00,4.53,8.76,9.58,7.34,7.64,0.57,6.07,13.33,4.40,3.97,16.17,-2.58,5.84,11.73,14.31,10.14,11.15,8.83,10.37,4.08,5.66,14.30,21.88,2.89,6.89,4.82,9.88,14.85,8.72,8.94,15.94,10.65,7.05,13.19,20.85,11.54,9.88,26.47,9.69,20.46,16.21,18.48,12.10,16.40,20.60,16.93,12.16,10.61,18.58,16.99,6.84,16.22,5.19,20.16,21.68,12.03,20.11,28.75,17.01,4.63,23.49,25.66,19.77,39.91,22.45,21.49,24.14,30.33,30.79,22.64,28.61,26.83,34.02,37.39,25.67,28.87,24.41,29.64,28.43,35.45,31.50,24.62,28.69,39.96,35.55,30.76,22.90,28.59,33.23,46.39,44.52,51.22,33.24,48.63,44.18,45.10,41.58,43.00,36.90,38.93
0.00,3.92,-1.81,11.04,11.33,8.34,2.28,3.68,10.13,6.24,4.47,9.31,5.72,1.42,7.12,15.73,5.80,6.95,10.78,5.45,1.45,3.94,8.12,18.37,2.48,12.41,11.00,7.32,13.70,11.01,7.40,4.20,6.60,11.75,3.74,4.90,7.99,9.07,3.49,9.93,20.58,4.98,11.25,7.75,11.63,10.31,9.77,9.44,12.16,8.04,8.23,8.94,9.11,8.23,16.90,9.31,17.89,15.15,16.47,7.78,10.46,16.57,23.57,12.61,14.35,15.71,17.72,20.09,14.32,17.96,12.68,16.92,16.78,23.44,16.29,21.17,10.81,13.64,24.14,19.38,18.31,22.89,19.95,18.52,24.90,26.73,24.88,21.90,16.92,15.65,19.30,33.21,19.76,24.34,35.77,32.98,20.85,33.14,30.98,31.40,27.09
0.00,2.06,-0.28,10.84,4.18,6.97,5.83,8.77,8.01,9.20,4.25,11.12,4.93,-3.48,0.87,10.62,4.16,4.68,8.82,6.41,-1.54,3.55,8.08,18.08,3.50,12.69,16.72,8.77,9.41,-1.29,6.74,4.97,0.13,7.77,10.36,13.19,10.73,8.03,2.79,10.18,15.12,6.63,11.15,5.12,11.23,14.45,6.70,5.84,8.46,7.37,13.63,2.88,9.54,8.73,15.52,5.04,13.84,15.42,8.04,14.97,12.64,11.46,21.64,14.26,13.11,18.21,20.57,20.26,12.55,22.90,14.17,18.58,16.10,19.89,9.28,21.78,9.24,16.58,20.83,22.20,16.45,17.22,22.15,20.63,23.86,27.52,20.30,19.53,20.56,21.07,18.46,28.23,19.51,36.10,26.90,36.11,20.23,35.54,33.56,34.05,32.05
0.00,3.47,4.80,11.60,10.59,7.18,9.16,2.16,16.31,5.93,7.98,12.03,7.10,-0.97,6.30,8.02,10.80,5.90,11.76,6.74,1.52,8.54,15.62,15.60,5.02,11.04,14.64,8.76,16.40,12.84,7.30,12.33,13.16,10.35,15.81,22.03,11.50,14.54,13.56,14.20,18.43,11.41,18.96,14.83,15.81,17.85,15.62,11.96,19.44,13.37,18.74,9.24,18.63,9.45,15.02,18.20,18.79,18.88,25.71,14.56,11.50,17.68,26.13,20.09,31.12,23.19,22.68,21.27,25.67,29.86,23.51,25.55,27.81,32.12,22.05,34.28,22.31,20.90,27.11,32.54,30.56,27.32,26.08,30.14,32.54,35.90,30.19,28.53,32.29,26.27,32.92,38.58,35.90,38.46,44.79,47.72,39.76,44.18,40.60,37.12,41.83
0.00,2.69,8.32,15.29,19.22,9.65,5.10,13.30,13.01,14.37,9.58,17.47,4.98,7.83,9.50,20.36,15.07,15.74,21.00,10.25,9.11,5.43,8.37,24.80,13.63,12.03,25.05,16.25,17.90,9.01,14.85,13.72,11.88,14.05,18.17,31.46,19.50,24.28,20.79,16.05,25.16,20.92,25.33,19.14,21.86,27.56,26.37,16.00,23.40,23.45,29.24,20.98,26.44,19.44,25.20,20.37,25.52,28.53,36.87,24.22,23.27,28.32,36.72,28.38,39.39,32.67,34.86,33.17,37.71,41.16,32.79,36.37,33.09,41.29,36.94,35.47,37.15,34.88,45.35,46.35,45.55,42.70,41.64,48.49,55.58,54.77,44.29,42.28,46.13,51.16,56.97,62.28,64.68,58.01,64.57,57.76,57.59,62.49,69.74,63.75,60.46
0.00,3.79,12.53,14.97,26.46,8.07,9.27,17.05,19.69,14.36,10.01,20.48,6.54,14.78,13.65,22.57,20.68,25.42,27.14,13.95,16.85,13.25,16.73,24.11,19.74,15.95,30.20,20.10,24.10,17.14,22.64,20.68,19.90,20.38,19.52,37.39,25.77,36.50,30.82,22.60,32.56,23.47,31.37,33.84,24.23,29.02,34.70,25.78,27.20,36.28,39.15,32.48,40.28,26.28,34.85,32.06,31.95,39.26,41.40,33.37,32.45,39.83,42.77,35.43,54.57,43.39,45.80,46.13,57.33,50.59,44.82,48.86,45.54,52.61,52.83,49.35,57.06,51.53,55.99,58.91,62.63,57.77,53.54,66.60,72.89,73.15,60.08,63.31,67.40,67.01,72.17,78.98,86.24,81.95,83.24,73.14,85.86,77.86,94.61,89.10,79.99
0.00,4.40,-1.58,13.01,14.65,2.19,6.25,2.30,16.16,1.73,7.76,13.55,9.10,4.82,6.83,12.67,10.00,12.59,12.80,4.36,6.42,8.56,17.08,17.00,7.61,14.62,15.35,10.73,18.21,17.39,10.77,10.32,15.54,7.50,14.32,13.94,9.81,24.37,7.95,13.80,20.39,10.17,15.10,19.23,17.57,14.93,17.97,13.76,19.86,11.79,18.95,12.73,16.71,9.23,20.69,11.91,13.28,24.71,27.01,10.84,12.30,21.40,28.12,20.66,26.82,25.27,23.25,23.17,24.74,22.59,19.61,29.31,25.98,35.60,22.53,27.72,26.40,24.57,28.14,31.90,31.46,29.72,25.21,28.26,37.34,34.64,31.72,30.53,31.13,30.88,28.94,45.56,38.14,36.42,49.72,45.21,43.34,43.64,41.55,39.24,41.40
0.00,2.26,8.88,14.81,17.08,4.03,9.82,18.04,16.10,15.56,9.36,16.07,4.13,7.55,9.35,18.11,14.80,16.52,17.79,13.56,9.29,9.70,12.43,24.14,10.62,14.55,26.66,19.48,21.56,9.67,17.50,14.60,14.18,16.29,18.11,30.31,20.27,27.92,24.06,17.16,28.49,13.40,28.64,26.43,19.72,24.91,29.70,19.91,18.61,29.43,30.14,24.40,30.27,24.63,27.71,24.85,25.43,33.98,30.02,27.90,27.60,31.98,37.07,29.28,39.98,37.57,36.82,37.87,48.41,44.24,38.85,37.90,36.22,41.61,45.02,36.83,41.80,44.15,48.42,46.57,49.79,43.52,45.21,53.55,56.30,57.32,45.27,50.47,55.79,53.36,56.25,63.79,65.76,67.56,68.05,58.98,68.48,62.84,71.20,75.63,66.81
0.00,4.11,-1.21,8.80,8.54,8.23,2.06,6.51,11.28,7.21,7.28,9.95,5.50,2.82,10.12,10.33,7.24,7.22,6.68,9.22,3.37,4.60,10.45,19.65,7.31,8.82,8.87,7.96,13.51,13.16,7.18,10.29,10.60,10.10,8.14,13.01,6.67,12.84,9.16,11.27,16.98,5.09,16.00,12.07,14.24,13.79,15.91,9.85,11.92,12.89,9.88,13.03,12.34,8.42,15.64,13.90,17.82,21.22,21.22,10.21,11.37,19.25,25.01,15.63,20.39,21.36,19.82,18.59,18.27,22.37,18.40,21.60,19.29,27.84,23.90,25.49,20.82,19.22,25.62,21.72,25.62,22.58,23.01,21.71,26.32,29.28,27.29,24.44,24.93,23.59,24.92,34.88,31.19,28.92,38.36,36.49,34.45,35.52,35.51,36.10,32.87
